,Randomstate,RMSE,MAPE,MSE,Training RMSE,Feat Corr Num,Feat Permu Num,Feat Corr Name,Feat Permu Name
0,1,7.585140099,0.041304736,57.53435033,0.970802255,5,4,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Scan Speed [mm/s]' 'Hatch Distance [mm]'
 'Duration [s]']"
1,2,0.523362264,0.003534785,0.273908059,1.378893776,5,5,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Average Interlayertemperature [°C]' 'Duration [s]'
 'Hatch Distance [mm]' 'Scan Speed [mm/s]']"
2,3,0.839319882,0.005836508,0.704457865,1.949402662,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]' 'Duration [s]' 'Scan Speed [mm/s]']
3,4,3.378309207,0.026391151,11.4129731,3.956752148,5,2,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]' 'Hatch Distance [mm]']
4,5,,,,,5,0,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",X
5,6,0.809768897,0.004344549,0.655725666,0.879508465,5,4,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Scan Speed [mm/s]' 'Hatch Distance [mm]'
 'Average Interlayertemperature [°C]']"
6,7,0.850359227,0.004741691,0.723110815,1.719919642,5,4,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Scan Speed [mm/s]' 'Hatch Distance [mm]'
 'Average Interlayertemperature [°C]']"
7,8,1.988990113,0.019806059,3.956081671,4.535027209,5,1,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Scan Speed [mm/s]']
8,9,0.215488176,0.001526791,0.046435154,1.683313962,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]' 'Hatch Distance [mm]' 'Scan Speed [mm/s]']
9,10,0.871977721,0.005521135,0.760345145,1.598259629,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Scan Speed [mm/s]' 'Laser Power [W]' 'Hatch Distance [mm]']
10,11,0.719638973,0.004325495,0.517880252,0.980350446,5,5,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Scan Speed [mm/s]' 'Laser Power [W]' 'Hatch Distance [mm]'
 'Duration [s]' 'Average Interlayertemperature [°C]']"
11,12,5.847031786,0.029047221,34.1877807,0.569581792,5,4,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Duration [s]' 'Scan Speed [mm/s]'
 'Hatch Distance [mm]']"
12,13,0.727852161,0.003928591,0.529768768,1.695047215,5,5,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Scan Speed [mm/s]' 'Duration [s]'
 'Average Interlayertemperature [°C]' 'Hatch Distance [mm]']"
13,14,5.988719811,0.02842132,35.86476498,0.809264211,5,4,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Average Interlayertemperature [°C]'
 'Scan Speed [mm/s]' 'Duration [s]']"
14,15,0.941046308,0.005078175,0.885568154,1.688401752,5,5,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Hatch Distance [mm]' 'Scan Speed [mm/s]' 'Laser Power [W]'
 'Average Interlayertemperature [°C]' 'Duration [s]']"
15,16,2.014236788,0.010720119,4.057149836,0.714797447,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]' 'Scan Speed [mm/s]' 'Hatch Distance [mm]']
16,17,0.426720316,0.002394459,0.182090228,1.230665327,5,4,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Scan Speed [mm/s]' 'Laser Power [W]' 'Duration [s]'
 'Hatch Distance [mm]']"
17,18,4.921389832,0.034514815,24.22007788,3.724730175,5,1,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]']
18,19,2.155098893,0.009921068,4.64445124,0.917437189,5,4,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Average Interlayertemperature [°C]' 'Laser Power [W]'
 'Hatch Distance [mm]' 'Scan Speed [mm/s]']"
19,20,7.788081573,0.040798383,60.65421459,2.251655715,5,2,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]' 'Scan Speed [mm/s]']
20,21,1.97502954,0.01637034,3.900741685,4.297009378,5,2,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Scan Speed [mm/s]' 'Duration [s]']
21,22,0.656452253,0.003223266,0.430929561,1.10933501,5,4,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Hatch Distance [mm]' 'Scan Speed [mm/s]'
 'Duration [s]']"
22,23,0.3905923,0.003577301,0.152562345,4.345649796,5,2,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Scan Speed [mm/s]' 'Laser Power [W]']
23,24,3.773936924,0.020456519,14.24259991,4.128904268,5,1,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]']
24,25,0.697288178,0.003964449,0.486210803,1.290029535,5,5,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Hatch Distance [mm]'
 'Average Interlayertemperature [°C]' 'Scan Speed [mm/s]' 'Duration [s]']"
25,26,1.209165306,0.007653701,1.462080738,4.113292408,5,2,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Hatch Distance [mm]' 'Laser Power [W]']
26,27,3.104485004,0.015600285,9.637827141,2.020361708,5,5,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Duration [s]' 'Hatch Distance [mm]' 'Scan Speed [mm/s]'
 'Laser Power [W]' 'Average Interlayertemperature [°C]']"
27,28,3.410129464,0.029554343,11.62898296,4.293896186,5,1,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]']
28,29,2.463922469,0.022562342,6.070913935,4.576937426,5,1,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]']
29,30,0.583705031,0.003342653,0.340711564,1.601425519,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]' 'Hatch Distance [mm]' 'Scan Speed [mm/s]']
30,31,1.894099047,0.011860453,3.587611198,4.769497362,5,1,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Duration [s]']
31,32,8.450885606,0.047236269,71.41746752,0.737928946,5,5,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Scan Speed [mm/s]'
 'Average Interlayertemperature [°C]' 'Hatch Distance [mm]' 'Duration [s]']"
32,33,,,,,5,0,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",X
33,34,1.251851786,0.008134357,1.567132893,1.791318395,5,5,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Scan Speed [mm/s]' 'Laser Power [W]' 'Hatch Distance [mm]'
 'Duration [s]' 'Average Interlayertemperature [°C]']"
34,35,0.674542226,0.003809032,0.455007215,0.829299348,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Hatch Distance [mm]' 'Scan Speed [mm/s]' 'Laser Power [W]']
35,36,4.679738349,0.021886823,21.89995101,1.484594257,5,4,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Hatch Distance [mm]' 'Scan Speed [mm/s]'
 'Average Interlayertemperature [°C]']"
36,37,3.772020364,0.02014686,14.22813763,1.13700821,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Average Interlayertemperature [°C]'
 'Scan Speed [mm/s]']"
37,38,5.811935357,0.031297462,33.77859259,1.136067342,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]' 'Scan Speed [mm/s]' 'Hatch Distance [mm]']
38,39,1.084753042,0.00503955,1.176689163,2.042346166,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Scan Speed [mm/s]'
 'Average Interlayertemperature [°C]']"
39,40,3.679075722,0.025515438,13.53559817,4.071951816,5,2,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]' 'Hatch Distance [mm]']
40,41,0.38920772,0.002930204,0.151482649,1.935895252,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Hatch Distance [mm]'
 'Average Interlayertemperature [°C]']"
41,42,2.792194374,0.016012854,7.79634942,1.692495721,5,5,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Scan Speed [mm/s]' 'Hatch Distance [mm]'
 'Duration [s]' 'Average Interlayertemperature [°C]']"
42,43,0.792448111,0.005615554,0.627974009,1.779656386,5,5,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Scan Speed [mm/s]' 'Hatch Distance [mm]'
 'Average Interlayertemperature [°C]' 'Duration [s]']"
43,44,3.026611575,0.023977134,9.160377628,4.752179483,5,2,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]' 'Hatch Distance [mm]']
44,45,3.396758621,0.019079337,11.53796913,0.866514397,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]' 'Duration [s]' 'Average Interlayertemperature [°C]']
